id,serial,modelo,precio_costo_usd,envios_repuestos,precio_venta_usd,sucursal,condicion,procesador,slots,tipo_ram,ram,ssd,hdd,so,pantalla,resolucion,placa_video,vram,teclado_retro,idioma_teclado,color,bateria,duracion,garantia_update,garantia_oficial,fallas,disponible,ingreso,created_at,updated_at,marca,refresh,touchscreen
54,MP22MT1C,Lenovo IdeaPad Gaming 3 15ACH6 (1),450,50,650,MITRE,NUEVA,Ryzen 5 5600H,,DDR4,16GB,256GB-512GB,,WIN10,"15,6''",FHD 120Hz,NVIDIA GTX 1650,4GB,,Ingles,Shadow Black,100%,4-5HS,6 meses,,,TRUE,,,,HP,,FALSE
55,MP2295JB,Lenovo IdeaPad Gaming 3 15ACH6 (3),450,50,650,LA PLATA,NUEVA,R5 5600H,,DDR4,16GB,256GB,1TB,WIN10,"15,6''",FHD 120Hz,NVIDIA GTX 1650,4GB,,Ingles,Shadow Black,100%,4-5HS,6 meses,,,TRUE,,,,Lenovo,,FALSE
56,MP22MS1W,Lenovo IdeaPad Gaming 3 15ACH6 (4),450,50,650,LA PLATA,NUEVA,R5 5600H,,DDR4,16GB,256GB,1TB,WIN10,"15,6''",FHD 120Hz,NVIDIA GTX 1650,4GB,,Ingles,Shadow Black,100%,,6 meses,,,TRUE,,,,Lenovo,,FALSE
57,MP22DWB5,Lenovo IdeaPad Gaming 3 15ACH6 (6),450,50,650,LA PLATA,NUEVA,R5 5600H,,DDR4,16GB,256GB,1TB,WIN10,"15,6''",FHD 120Hz,NVIDIA GTX 1650,4GB,,Ingles,Shadow Black,100%,4-5HS,6 meses,,,TRUE,,,,Lenovo,,FALSE
58,MP22MR1Z,Lenovo IdeaPad Gaming 3 15ACH6 (7),450,50,650,LA PLATA,NUEVA,R5 5600H,,DDR4,16GB,256GB,1TB,WIN10,"15,6''",FHD 120Hz,NVIDIA GTX 1650,4GB,,Ingles,Shadow Black,100%,4-5HS,6 meses,,,TRUE,,,,Lenovo,,FALSE
59,...I0002359,Gateway GGNC51518,500,0,650,MITRE,NUEVA,i5-11400H,,DDR4,16GB,512GB,2XM2,WIN10,"15,6'' 120Hz",FHD,NVIDIA RTX 3050,4GB,SI,Ingles,Black,100%,,6 meses,,,TRUE,,,,Lenovo,,FALSE
60,NO SABEMOS,Lenovo LOQ 15ARP9,949,156,1.370,MITRE,NUEVA,Ryzen 7 7435HS,,DDR5,16GB,512GB,,WIN 11,"15,6''",FHD,NVIDIA RTX 4070,8GB,,,Luna Grey,,,6 meses,,,TRUE,,,,Gateway,,FALSE
61,MP2PFWZB,Lenovo LOQ 15ARP9,949,156,1.370,LA PLATA,NUEVA,Ryzen 7 7435HS,,DDR5,16GB,512GB,,WIN 11,"15,6''",FHD,NVIDIA RTX 4070,8GB,,,Luna Grey,,,6 meses,,,TRUE,,,,Lenovo,,FALSE
62,PF5GTNW9,Lenovo Legion PRO 16IRX9,1.735,175,2.250,LA PLATA,NUEVA,i9-14900HX,,DDR5,32GB,1TB,,WIN11,16'' 240Hz,2560x1600,NVIDIA RTX 4070,8GB,SI,Inglés,ONYX GRAY,,,6 meses,,,TRUE,,,,Lenovo,,FALSE
63,PF296VAR,Lenovo IdeaPad L340 17IWL (2),250,40,340,LA PLATA,REFURBISHED,i3-8145U,,DDR4,16GB,256GB,500GB,WIN 10,"17,3''",1600x900,Intel UHD Graphics 620,,,Ingles,Silver,100%,,6 meses,,,TRUE,,,,Lenovo,,FALSE
